period,dimension,category,share_pct,source
FY2025,geography,China,85.6,AR2025
FY2025,geography,America,11.6,AR2025
FY2025,geography,Eurasia,2.8,AR2025
FY2025,application,Smartphone,23.1,AR2025
FY2025,application,Computer_and_tablet,14.8,AR2025
FY2025,application,Consumer_electronics,43.2,AR2025
FY2025,application,Connectivity_and_IoT,7.9,AR2025
FY2025,application,Industrial_and_automotive,11.0,AR2025
FY2025,wafer_size,12_inch,77.1,AR2025
FY2025,wafer_size,8_inch,22.9,AR2025
2026Q1,geography,China,88.9,Q1_2026
2026Q1,geography,America,8.5,Q1_2026
2026Q1,geography,Eurasia,2.6,Q1_2026
2026Q1,application,Smartphone,18.9,Q1_2026
2026Q1,application,Computer_and_tablet,13.6,Q1_2026
2026Q1,application,Consumer_electronics,46.2,Q1_2026
2026Q1,application,Connectivity_and_IoT,7.3,Q1_2026
2026Q1,application,Industrial_and_automotive,14.0,Q1_2026
2026Q1,wafer_size,12_inch,76.4,Q1_2026
2026Q1,wafer_size,8_inch,23.6,Q1_2026
