date,event,t0_pct,t5_pct,t20_pct,t5_excess_hstech_pct,causal_confidence
2025-03-18,FY2024 results,1.44,-14.88,-21.76,-8.83,low
2025-05-21,2025Q1 results,0.0,-1.42,-4.77,1.23,low
2025-08-19,2025Q2 results（事件簇）,-1.85,19.94,6.11,16.3,low
2025-08-21,何小鹏增持3.1m股,13.6,3.71,4.02,0.51,medium
2025-08-27,全新P7发布,-1.75,-16.14,-11.52,-14.44,low
2025-11-17,2025Q3 results,-2.74,-17.58,-25.28,-12.98,medium
2026-03-20,FY2025 results,-5.1,-7.22,-12.06,-2.85,low
2026-05-28,2026Q1 results,5.57,5.73,-27.48,4.35,medium
2026-07-02,2026Q2 delivery,2.27,0.39,,-5.4,low
2026-08-01,2026年7月交付（截至T+4）,-3.08,,,,low
